,area,population,rates,dpy,dps,dp10ms,dp50ms
0,China,1409517397.0,7.8,10994235.696600001,0.3486249269596652,0.0034862492695966517,0.017431246347983258
1,India,1339180127.0,7.3,9776014.9271,0.30999539976851853,0.0030999539976851852,0.015499769988425926
2,United States,324459463.0,8.2,2660567.5966,0.08436604504693049,0.0008436604504693049,0.004218302252346524
3,Indonesia,263991379.0,6.5,1715943.9635,0.05441222613838154,0.0005441222613838154,0.0027206113069190773
4,Brazil,209288278.0,6.7,1402231.4626000002,0.044464467992135985,0.00044464467992135984,0.0022232233996067993
5,Pakistan,197015955.0,6.3,1241200.5165,0.03935821018835617,0.00039358210188356166,0.0019679105094178085
6,Nigeria,190886311.0,12.4,2366990.2564000003,0.0750567686580416,0.000750567686580416,0.00375283843290208
7,Bangladesh,164669751.0,5.4,889216.6554,0.02819687517123288,0.0002819687517123288,0.0014098437585616439
8,Russia,143989754.0,13.5,1943861.679,0.06163944948630137,0.0006163944948630138,0.0030819724743150687
9,Mexico,129163276.0,5.3,684565.3628,0.021707425253678338,0.00021707425253678338,0.0010853712626839168
10,Japan,127484450.0,9.8,1249347.61,0.039616552828513445,0.00039616552828513447,0.0019808276414256722
11,Ethiopia,104957438.0,7.7,808172.2726,0.025626974651192288,0.00025626974651192286,0.0012813487325596144
12,Philippines,104918090.0,6.1,640000.349,0.02029427793632674,0.0002029427793632674,0.001014713896816337
13,Egypt,97553151.0,4.6,448744.4946,0.014229594577625569,0.0001422959457762557,0.0007114797288812785
14,Vietnam,95540800.0,5.9,563690.72,0.017874515474378492,0.0001787451547437849,0.0008937257737189246
15,Germany,82114224.0,11.7,960736.4208,0.03046475205479452,0.0003046475205479452,0.001523237602739726
16,Democratic Republic of the Congo,81339988.0,9.6,780863.8848,0.024761031354642315,0.00024761031354642314,0.0012380515677321157
17,Iran,81162788.0,5.3,430162.7764,0.013640372158802637,0.00013640372158802637,0.0006820186079401319
18,Turkey,80745020.0,6.0,484470.12,0.015362446727549469,0.00015362446727549468,0.0007681223363774734
19,Thailand,69037513.0,8.0,552300.104,0.017513321410451546,0.00017513321410451545,0.0008756660705225773
20,United Kingdom,66181585.0,9.4,622106.899,0.019726880358954847,0.00019726880358954848,0.0009863440179477424
21,France,64979548.0,9.3,604309.7964000001,0.019162537937595134,0.00019162537937595134,0.0009581268968797567
22,Italy,59359900.0,10.4,617342.96,0.0195758168442415,0.000195758168442415,0.000978790842212075
23,Tanzania,57310019.0,7.6,435556.1444,0.01381139473617453,0.0001381139473617453,0.0006905697368087265
24,South Africa,56717156.0,9.4,533141.2664000001,0.016905798655504824,0.00016905798655504823,0.0008452899327752412
25,Colombia,49065615.0,5.5,269860.8825,0.008557232448630138,0.00008557232448630138,0.0004278616224315069
26,Kenya,49699862.0,6.7,332989.07540000003,0.010559014313800102,0.00010559014313800103,0.0005279507156900051
27,Spain,46354321.0,9.1,421824.32109999994,0.013375961475773716,0.00013375961475773715,0.0006687980737886858
28,Argentina,44271041.0,7.5,332032.8075,0.01052869125761035,0.00010528691257610349,0.0005264345628805175
29,Ukraine,44222947.0,14.4,636810.4368,0.020193126484018265,0.00020193126484018266,0.0010096563242009133
30,Uganda,42862958.0,10.2,437202.17159999994,0.013863589916286147,0.00013863589916286148,0.0006931794958143073
31,Algeria,41318142.0,4.3,177668.01059999998,0.005633815658295281,0.00005633815658295281,0.000281690782914764
32,Sudan,40533330.0,7.3,295893.309,0.009382715277777778,0.00009382715277777778,0.0004691357638888889
33,Iraq,38274618.0,3.8,145443.5484,0.004611984665144597,0.00004611984665144597,0.00023059923325722983
34,Poland,38170712.0,10.4,396975.4048,0.012588007508878741,0.0001258800750887874,0.000629400375443937
35,Canada,36624199.0,8.7,318630.5313,0.01010370786719939,0.0001010370786719939,0.0005051853933599695
36,Morocco,35739580.0,4.9,175123.942,0.005553143772196855,0.00005553143772196855,0.00027765718860984275
37,Afghanistan,35530081.0,13.4,476103.08540000004,0.015097129800862507,0.00015097129800862506,0.0007548564900431254
38,Saudi Arabia,32938213.0,3.4,111989.92420000001,0.0035511772006595636,0.00003551177200659563,0.00017755886003297818
39,Peru,32165485.0,6.1,196209.4585,0.006221761114282091,0.00006221761114282091,0.00031108805571410455
40,Venezuela,31977065.0,5.3,169478.4445,0.005374126220826992,0.00005374126220826992,0.0002687063110413496
41,Uzbekistan,31910641.0,5.3,169126.39729999998,0.005362962877346524,0.000053629628773465245,0.0002681481438673262
42,Malaysia,31624264.0,5.1,161283.74639999997,0.005114274048706239,0.000051142740487062386,0.0002557137024353119
43,Angola,29784193.0,9.2,274014.5756,0.008688945192795535,0.00008688945192795535,0.0004344472596397767
44,Mozambique,29668834.0,11.6,344158.47439999995,0.010913193632673767,0.00010913193632673767,0.0005456596816336884
45,Nepal,29304998.0,5.6,164107.9888,0.005203830187721969,0.000052038301877219686,0.0002601915093860984
46,Ghana,28833629.0,7.0,201835.403,0.0064001586440892945,0.00006400158644089294,0.00032000793220446474
47,Yemen,28250420.0,6.0,169502.52,0.005374889649923897,0.00005374889649923897,0.0002687444824961948
48,Madagascar,25570895.0,6.5,166210.8175,0.005270510448376458,0.00005270510448376458,0.0002635255224188229
49,North Korea,25490965.0,9.3,237065.97450000004,0.007517312737823441,0.00007517312737823442,0.00037586563689117204
50,Australia,24450561.0,7.3,178489.0953,0.005659852083333333,0.00005659852083333333,0.00028299260416666665
51,Cameroon,24053727.0,9.6,230915.7792,0.0073222913242009125,0.00007322291324200913,0.0003661145662100456
52,Taiwan,23626456.0,7.4,174835.7744,0.005544006037544394,0.000055440060375443934,0.0002772003018772197
53,Niger,21477348.0,11.8,253432.7064,0.008036298401826483,0.00008036298401826482,0.0004018149200913241
54,Sri Lanka,20876917.0,6.2,129436.8854,0.004104416711060375,0.00004104416711060375,0.00020522083555301875
55,Romania,19679306.0,12.0,236151.672,0.007488320395738203,0.00007488320395738204,0.00037441601978691015
56,Burkina Faso,19193382.0,11.2,214965.8784,0.006816523287671233,0.00006816523287671233,0.00034082616438356163
57,Malawi,18622104.0,7.9,147114.62159999998,0.00466497404870624,0.0000466497404870624,0.000233248702435312
58,Mali,18541980.0,9.8,181711.404,0.005762030821917809,0.000057620308219178086,0.00028810154109589045
59,Syria,18269868.0,4.0,73079.472,0.0023173348554033483,0.000023173348554033482,0.00011586674277016741
60,Kazakhstan,18204499.0,8.1,147456.4419,0.004675813099315068,0.00004675813099315068,0.00023379065496575342
61,Chile,18054726.0,6.2,111939.3012,0.00354957195585997,0.0000354957195585997,0.0001774785977929985
62,Zambia,17094130.0,12.2,208548.386,0.006613025938609843,0.00006613025938609843,0.0003306512969304922
63,Netherlands,17035938.0,8.9,151619.8482,0.004807833847031964,0.00004807833847031964,0.00024039169235159818
64,Guatemala,16913503.0,4.7,79493.46410000001,0.002520721210679858,0.00002520721210679858,0.0001260360605339929
65,Ecuador,16624858.0,5.1,84786.7758,0.0026885710235920856,0.000026885710235920854,0.00013442855117960429
66,Zimbabwe,16529904.0,10.2,168605.02079999997,0.0053464301369863,0.000053464301369863,0.000267321506849315
67,Cambodia,16005373.0,7.5,120040.2975,0.003806452863394216,0.00003806452863394216,0.0001903226431697108
